rfidNo,gid
"B000103","11"
"B000105","28"
"B000107","37"
"B000110","30"
"B000111","31"
"B000113","36"
"B000115","31"
"B000121","32"
"B000124","32"
"B000126","36"
"B000130","27"
"B000131","33"
"B000132","35"
"B000133","36"
"B000134","36"
"B000135","37"
"B000136","37"
"B000137","35"
"B000138","37"
"B000139","37"
"B000140","37"
"B000141","37"
"B000142","37"
"B000143","35"
"B000146","37"
"B000148","37"
"B000149","37"
"B000150","37"
"B000154","37"
"B99999","17"
"F000001","36"
"M000201","34"
"M000202","29"
"M000205","10"
"M000206","9"
"M000210","10"
"M000211","10"
"M000212","9"
"M000218","9"
"M000219","6"
"M000220","10"
"M000221","11"
"M000222","33"
"M000223","29"
"M000229","10"
"M000231","10"
"M000233","31"
"M000234","10"
"M000237","10"
"M000238","9"
"M000244","9"
"M000245","32"
"M000246","9"
"M000250","9"
"M000253","24"
"M000260","10"
"M000264","35"
"M000266","9"
"M000269","9"
"M000273","34"
"M000279","10"
"M000282","33"
"M000283","21"
"M000287","29"
"M000290","10"
"M000291","10"
"M000292","10"
"M000293","10"
"M000297","7"
"M000299","10"
"M000303","32"
"M000305","8"
"M000308","11"
"M000310","34"
"M000311","12"
"M000312","30"
"M000316","23"
"M000317","11"
"M000318","31"
"M000320","3"
"M000321","24"
"M000323","28"
"M000326","19"
"M000327","22"
"M000331","34"
"M000333","33"
"M000339","37"
"M000342","25"
"M000346","29"
"M000347","28"
"M000350","37"
"M000351","34"
"M000353","10"
"M000355","31"
"M000357","30"
"M000359","35"
"M000362","36"
"M000368","27"
"M000372","35"
"M000375","31"
"M000381","30"
"M000390","37"
"M000391","29"
"M000392","27"
"M000393","31"
"M000394","29"
"M000395","29"
"M000396","29"
"M000398","32"
"M000401","33"
"M000402","32"
"M000407","33"
"M000411","28"
"M000413","32"
"M000432","33"
"M000437","33"
"M000438","32"
"M000443","31"
"M000446","31"
"M000450","36"
"M000453","32"
"M000456","32"
"M000459","36"
"M000461","34"
"M000465","31"
"M000467","33"
"M000468","36"
"M000472","32"
"M000474","35"
"M000476","32"
"M000477","28"
"M000478","35"
"M000479","36"
"M000480","33"
"M000481","36"
"M000482","37"
"M000486","37"
"M000487","37"
"M000490","37"
"M000491","37"
"M000492","37"
"M000493","37"
"M000496","37"
"M000497","33"
"M000501","36"
"M000502","37"
"M000503","37"
"M000505","37"
"M000506","34"
"M000507","37"
"M000508","37"
"M000509","37"
"M000510","37"
"M000511","35"
"M000512","37"
"M000513","37"
"M000514","37"
"M000515","37"
"M000516","36"
"M000517","37"
"M000518","37"
"M000519","35"
"M000520","37"
"M000521","37"
"M000522","37"
"M000523","37"
"M000535","37"
"M000536","36"
"M000537","37"
"M000539","32"
"M000540","36"
"M000541","37"
"M000542","31"
"M000543","37"
"M000544","37"
"M000545","36"
"M000546","37"
"M000547","37"
"M000549","37"
"M000552","32"
"P000001","26"
"P000002","35"
"P000005","32"
"P000007","32"
"P000008","33"
"P000012","37"
"P000016","37"
"P000017","37"
"P000018","37"
"X000103","10"
"X000104","35"
"X000105","33"
"X000106","37"
"X000108","30"
"X000114","30"
"X000115","31"
"X000121","31"
"X000123","31"
"X000126","31"
"X000129","37"
"X000130","37"
"X000131","37"
"X000132","37"
"X000133","37"
"X000134","37"
"X000135","37"
"X000136","37"
"X000139","37"
"X000141","37"
"X000144","37"
"X000145","35"
"X000147","37"
"X000148","37"
"X000150","37"
"X000151","37"
"X000153","37"
"X000154","37"
"X000158","59"
"X000160","37"
"X99999","3"
